Month,Main Type,Category,Sub category, Amount ,Bill Due Date,Status,year,day
January,Income,Allowance,From dad," $ 8,000.00 ",2021-01-31 21:45:00,Paid,2021,31
January,Expense,Other,Snacks, $ 85.00 ,2021-01-31 21:46:00,Paid,2021,31
January,Income,Other,From dad, $ 500.00 ,2021-02-02 18:21:00,Paid,2021,2
January,Expense,Household,Stuffs," $ 6,667.00 ",2021-02-02 18:22:00,Paid,2021,2
January,Expense,Transportation,Metro, $ 30.00 ,2021-02-02 18:56:00,Paid,2021,2
January,Expense,Other,Dinner, $ 78.00 ,2021-02-02 19:50:00,Paid,2021,2
January,Expense,Other,Lunch with company," $ 1,460.00 ",2021-02-11 14:00:00,Paid,2021,11
January,Expense,Transportation,Rapido to pg, $ 43.00 ,2021-02-12 17:47:00,Paid,2021,12
January,Expense,Other,Dinner, $ 66.00 ,2021-02-12 20:46:00,Paid,2021,12
January,Income,Other,Gundan + prasanna, $ 340.00 ,2021-02-13 16:56:00,Paid,2021,13
January,Income,Other,From dad," $ 1,500.00 ",2021-02-14 21:16:00,Paid,2021,14
January,Expense,Other,Snacks, $ 70.00 ,2021-02-14 21:16:00,Paid,2021,14
January,Expense,Other,Eve snack," $ 1,100.00 ",2021-02-16 18:31:00,Paid,2021,16
January,Expense,Other,Lunch with company, $ 148.00 ,2021-02-17 13:51:00,Paid,2021,17
January,Expense,Other,Snack with preethi, $ 59.00 ,2021-02-17 17:10:00,Paid,2021,17
January,Expense,Other,Dinner, $ 301.15 ,2021-02-17 20:54:00,Paid,2021,17
January,Expense,Other,Lunch + chocolate for preethi, $ 171.00 ,2021-02-18 14:27:00,Paid,2021,18
January,Income,Other,From vicky, $ 200.00 ,2021-02-20 11:47:00,Paid,2021,20
January,Expense,Other,Snacks, $ 37.00 ,2021-02-20 11:47:00,Paid,2021,20
January,Expense,Other,Lunch with company, $ 188.00 ,2021-02-20 14:22:00,Paid,2021,20
January,Income,Other,From dad," $ 2,000.00 ",2021-02-22 21:27:00,Paid,2021,22
January,Expense,Other,Snacks with preethi and azar, $ 176.00 ,2021-02-22 21:27:00,Paid,2021,22
January,Expense,Other,Badminton, $ 200.00 ,2021-02-22 21:27:00,Paid,2021,22
January,Income,Other,From vicky, $ 310.00 ,2021-02-22 21:29:00,Paid,2021,22
January,Expense,Other,Lemon tea, $ 18.00 ,2021-02-24 10:23:00,Paid,2021,24
